Questions,Answers
"Which dog is based in Switzerland, Appenzeller Sennenhund or Drentse Patrijshond?",Appenzeller Sennenhund
What is type of philosophies is The Structure of Liberty about?,political
"Reveille Park is the eighth album by which American rapper born on October 5, 1970?",South Park Mexican
Where does the descendant of the Red Setter originate? ,Scotland
Is the university that owns WCSU-FM historically black or white?,black
"In the USA, a tobacconist, also called a tobacco shop or smoke shop, is traditionally represented by which advertisement figure, that is often a three-dimensional wooden sculpture several feet tall?",wooden Indian
"Which American comedian, actor, writer, producer and voice actor from ""Hot & Fluffy"" voices a character in The Nut Job?",Gabriel Iglesias
What disease is the Wolf Prize winner and Vadim  Bereinskii-inspired Nobel laureate suffering from?,dementia
"Who is a poet, Rumi or Farouk El-Baz?","Rumi (30 September 1207 - 17 December 1273), was a 13th-century Persian Sunni Muslim poet"
Britt Walford played with what musician who is best known for his guitar work in the band Maurice,David Pajo
What occupation have Carly Gullickson and Francesca Schiavone both held?,professional tennis player.
What genre of music did Benjamin Burnley and Yannis Philippakis have in common?,rock
"Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega, Nick Frost, Jodie Whittaker and Luke Treadaway.",Ant-Man
 Om and SIx Organs of Admittance are both what?,heavy metal band
Are both Ride a Wild Pony and Frozen 2 computer-animated films?,no
Barranca de Yaco is a geographical feature along an ancient road that is approximately how many miles long?,24800 mi
What are some other areas that share a common deer species with the forests of Mara and Mondrem?,"New Zealand, Canada, the United States, the Falkland Islands, and Peru."
What is the approximate population of the town near which Forward Operating Base Gibraltar was located ?,"approximately 14,000"
What is the age range of the league for which the Bobby Smith Trophy is awarded?,16-21
Are both Kyosuke Himuro and Boy George musicians from the 1980s?,yes
The pilot and author of Highest Duty: My Search for What Really Matters was hired by which news station in 2011?,CBS News
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,The Frost Report
"Which women's magazine was published first, Mirabella or Home Monthly?",Home Monthly
Which country is the Taipa island part of?,China
"What year did the VIacom subsidary, Paramount Pictures make the silent film Through the Glass Window?",1922
"Which of the following cities is a county-level city, Jingzhou or Zixing?",Zixing
The group formed during the summer of 2007 included what girl born in 1987?,Mollie Elizabeth King
Which documentary film came out first The Last Lions or Prophet's Prey ?,The Last Lions
Which Dutch media tycoon transferred all of its media activities to Talpa Holding?,John de Mol Jr.
What professionn does Stanley Kwan and Ken Hughes have in common?,director
Focus is a 2015 American romantic crime comedy-drama film starring an Australian actress who was also cast in what soap opera?,Neighbours
What year was Playford B Power Station permanently closed in by its Australian operator?,2015
Rebecca M. Bergman is the President of a college affliated with what church?,Evangelical Lutheran Church
"The twenty-first season of South Park was entitled ""White People Renovating Houses"" is which episode of the series overall?",278th episode
What association did the woman whose museum is located in the Bolling-Gatewood House help found?,NAACP
"Who married a man who starred in Marcus Welby, M.D.?",Barbra Streisand
At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University
"Which satellite was operational for longer, International Ultraviolet Explorer or EXOSAT?",International Ultraviolet Explorer
"When was the German actress born who is best known for her role as the Borg Seven of Nine and who has role in  ""Body of Proof"" as Dr. Kate Murphy?",22-Feb-68
"Which college was founded first, Williams College or University of Southern California?",Williams College
"Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?",Hot Lead and Cold Feet
whiich Australian racing driver won the 44-lap race for the Red Bull Racing team?,Daniel Ricciardo
Where in London was the 2012 Olympic event featuring athletes such as Katsuaki Susa held?,ExCeL Exhibition Centre
The first edition of the Dungeons & Dragons Basic Set was written by a professor at what university?,University of Southern California
Victor Koman's Ph.D.  in Information Technology was conferred by a university located in which city ?,Minneapolis
" The Nike Hoop Summit has had many current NBA players as former participants, including what German player from the Dallas Mavericks?",Dirk Werner Nowitzki
What chef is the owner of a Japanese restaurant in the Tribeca neighborhood and also owns two Bar Masas in New York and Nevada?,"Masayoshi ""Masa"" Takayama"
"Which battle, the Battle of Cold Harbor, or the Second Battle of Bull Run, was fought first?",Second Battle of Bull Run
Which award David Hersey had got for Equus a play by Peter Shaffer ?,Outstanding Lighting Design
"Which drink is larger, the Apple-Kneel or the Flaming volcano?",The flaming volcano
Donnie Smith who plays as a left back for New England Revolution belongs to what league featuring 22 teams?,Major League Soccer
"Which body of water flows through more states, Tamiami Canal or Genesee River?",Genesee River
Corn Ranch is a spaceport where test flights are carried out by a company headquartered in what state?,Washington
Who was born first out of Todd Field and Aaron Katz?,William Todd Field
What Andy Williams' album did a song written by Charles Wesley appear on?,The Andy Williams Christmas Album
Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Richard L. Thompson
"What abbey, founded in 598, was Clarembald a monk at?",St Augustine's Abbey
What class of yamaha class sport bike motorcycle did Ryuji Yokoa use when he finished as champion in the MFJ All Japan Road Race GP250 Championship in 2006?,Yamaha 600 class
"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",bass
Who designed the casino that The Venetian Macao is modeled on?,KlingStubbins
"What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1,800,000?",Jeremy Hammond
 Who was the husband of the prominent Walton family member who died after John died in 2005?,Sam Walton
"Which facility was founded in Missouri, Discovery Zone or Valentino's?",Discovery Zone
Kevin Short had a role as the Jailer in which three-act French opera?,Dialogues of the Carmelites
Armie Hammer stars as Oliver in a film directed by who ?,Luca Guadagnino
What classmate of Tony Hendra is the Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge?,Stephen Hawking
Who is a Brazilian mixed martial artist in the UFC who Namsaknoi Yudthagarngamtorn coached?,Rafael Souza dos Anjos
what year was the writer of the blog Preposterous Universe born?,1966
"George Reed was, along with which Drake University player, one of the greatest running backs in CFL history?",Johnny D. Bright
